"MARPI Real Personal Income by MSA 1/"
"Real per capita personal income (Chained 2012 dollars) 2/" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"40420","Rockford, IL (Metropolitan Statistical Area)",43710
"40580","Rocky Mount, NC (Metropolitan Statistical Area)",42203
"40660","Rome, GA (Metropolitan Statistical Area)",43039
"40900","Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)",49457
"40980","Saginaw, MI (Metropolitan Statistical Area)",39880
"41060","St. Cloud, MN (Metropolitan Statistical Area)",44851
"41100","St. George, UT (Metropolitan Statistical Area)",35283
"41140","St. Joseph, MO-KS (Metropolitan Statistical Area)",40448
"41180","St. Louis, MO-IL (Metropolitan Statistical Area)",53820
"41420","Salem, OR (Metropolitan Statistical Area)",39701
"41500","Salinas, CA (Metropolitan Statistical Area)",46715
"41540","Salisbury, MD-DE (Metropolitan Statistical Area)",48874
"41620","Salt Lake City, UT (Metropolitan Statistical Area)",45831
"41660","San Angelo, TX (Metropolitan Statistical Area)",43357
"41700","San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",44777
"41740","San Diego-Carlsbad, CA (Metropolitan Statistical Area)",46589
"41860","San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",66920
"41940","San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",69016
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)",47606
"42100","Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",47108
"42140","Santa Fe, NM (Metropolitan Statistical Area)",52544
"42200","Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",50259
"42220","Santa Rosa, CA (Metropolitan Statistical Area)",45697
"42340","Savannah, GA (Metropolitan Statistical Area)",44460
"42540","Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)",44610
"42660","Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",57630
"42680","Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",74988
"42700","Sebring, FL (Metropolitan Statistical Area)",38248
"43100","Sheboygan, WI (Metropolitan Statistical Area)",51108
"43300","Sherman-Denison, TX (Metropolitan Statistical Area)",42335
"43340","Shreveport-Bossier City, LA (Metropolitan Statistical Area)",45697
"43420","Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",40623
"43580","Sioux City, IA-NE-SD (Metropolitan Statistical Area)",52486
"43620","Sioux Falls, SD (Metropolitan Statistical Area)",58430
"43780","South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",47136
"43900","Spartanburg, SC (Metropolitan Statistical Area)",43885
"44060","Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",42527
"44100","Springfield, IL (Metropolitan Statistical Area)",47713
"44140","Springfield, MA (Metropolitan Statistical Area)",47917
"44180","Springfield, MO (Metropolitan Statistical Area)",41597
"44220","Springfield, OH (Metropolitan Statistical Area)",41790
"44300","State College, PA (Metropolitan Statistical Area)",39649
"44420","Staunton-Waynesboro, VA (Metropolitan Statistical Area)",46705
"44700","Stockton-Lodi, CA (Metropolitan Statistical Area)",39719
"44940","Sumter, SC (Metropolitan Statistical Area)",40024
"45060","Syracuse, NY (Metropolitan Statistical Area)",45230
"45220","Tallahassee, FL (Metropolitan Statistical Area)",41054
"45300","Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",42583
"45460","Terre Haute, IN (Metropolitan Statistical Area)",39151
"45500","Texarkana, TX-AR (Metropolitan Statistical Area)",39425
"45540","The Villages, FL (Metropolitan Statistical Area)",43974
"45780","Toledo, OH (Metropolitan Statistical Area)",47566
"45820","Topeka, KS (Metropolitan Statistical Area)",46599
"45940","Trenton, NJ (Metropolitan Statistical Area)",55029
"46060","Tucson, AZ (Metropolitan Statistical Area)",40198
"46140","Tulsa, OK (Metropolitan Statistical Area)",51359
"46220","Tuscaloosa, AL (Metropolitan Statistical Area)",38917
"46300","Twin Falls, ID (Metropolitan Statistical Area) 4/","(NA)"
"46340","Tyler, TX (Metropolitan Statistical Area)",48154
"46520","Urban Honolulu, HI (Metropolitan Statistical Area)",42455
"46540","Utica-Rome, NY (Metropolitan Statistical Area)",41588
"46660","Valdosta, GA (Metropolitan Statistical Area)",40161
"46700","Vallejo-Fairfield, CA (Metropolitan Statistical Area)",38329
"47020","Victoria, TX (Metropolitan Statistical Area)",43039
"47220","Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",36110
"47260","Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)",46286
"47300","Visalia-Porterville, CA (Metropolitan Statistical Area)",38992
"47380","Waco, TX (Metropolitan Statistical Area)",40251
"47460","Walla Walla, WA (Metropolitan Statistical Area)",43179
"47580","Warner Robins, GA (Metropolitan Statistical Area)",42207
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",54683
"47940","Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",44803
"48060","Watertown-Fort Drum, NY (Metropolitan Statistical Area)",42342
"48140","Wausau, WI (Metropolitan Statistical Area)",48959
"48260","Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",41744
"48300","Wenatchee, WA (Metropolitan Statistical Area)",46087
"48540","Wheeling, WV-OH (Metropolitan Statistical Area)",46474
"48620","Wichita, KS (Metropolitan Statistical Area)",49977
"48660","Wichita Falls, TX (Metropolitan Statistical Area)",43629
"48700","Williamsport, PA (Metropolitan Statistical Area)",41657
"48900","Wilmington, NC (Metropolitan Statistical Area)",42722
"49020","Winchester, VA-WV (Metropolitan Statistical Area)",46884
"49180","Winston-Salem, NC (Metropolitan Statistical Area)",45136
"49340","Worcester, MA-CT (Metropolitan Statistical Area)",48132
"49420","Yakima, WA (Metropolitan Statistical Area)",41237
"49620","York-Hanover, PA (Metropolitan Statistical Area)",45782
"49660","Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",43587
"49700","Yuba City, CA (Metropolitan Statistical Area)",40320
"49740","Yuma, AZ (Metropolitan Statistical Area)",35135
"Legend / Footnotes:"
"1/ Real personal income for metropolitan areas is personal income divided by the RPPs and the national PCE price index. The result is a chained dollar estimate of real personal income, in millions of chained 2012 dollars. Calculations are performed on unrounded data."
"2/ Real per capita personal income is total real personal income divided by total midyear population."
"3/ Real personal income for the United States Nonmetropolitan Portion was estimated using statistical area delineations published by the Office of Management and Budget in February 2013 and July 2015."
"4/ Real personal income estimates are not available for the Enid, OK, Metropolitan Statistical Area prior to year 2013, and the Twin Falls, ID, Metropolitan Statistical Area for years 2008-2016."
"(NA) Not available."
"Last updated: November 15, 2018-- revised statistics for 2008-2016."
